Race,Sex,degree,percent
BLACK OR AFRICAN AMERICAN ALONE,Male,Some college or associate's degree,14.418604651162791
HISPANIC OR LATINO,Female,Some college or associate's degree,9.32475884244373
HISPANIC OR LATINO,Male,Some college or associate's degree,18.726591760299627
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Female,Some college or associate's degree,NA
"NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE",Male,Some college or associate's degree,0
SOME OTHER RACE ALONE,Female,Some college or associate's degree,0
SOME OTHER RACE ALONE,Male,Some college or associate's degree,86.48648648648648
TWO OR MORE RACES,Female,Some college or associate's degree,31.53153153153153
TWO OR MORE RACES,Male,Some college or associate's degree,82.8125
WHITE ALONE,Female,Some college or associate's degree,37.593638354269906
WHITE ALONE,Male,Some college or associate's degree,30.133370380661294
"WHITE ALONE, NOT HISPANIC OR LATINO",Female,Some college or associate's degree,38.26970807233187
"WHITE ALONE, NOT HISPANIC OR LATINO",Male,Some college or associate's degree,30.671609867389133
All,Female,Some college or associate's degree,36.896375701888715
All,Male,Some college or associate's degree,29.27541753984886
All,All,Some college or associate's degree,33.500297138976144
